Category,Category_id,Subcategory,Subcategory_id,amount,year
議会費,1,議会費,101,572778000,2013
総務費,2,総務管理費,201,7274040000,2013
総務費,2,徴税費,202,1414592000,2013
総務費,2,戸籍住民基本台帳費,203,383151000,2013
総務費,2,選挙費,204,192511000,2013
総務費,2,統計調査費,205,32444000,2013
総務費,2,監査委員費,206,80444000,2013
民生費,3,社会福祉費,301,15914356000,2013
民生費,3,児童福祉費,302,12127630000,2013
民生費,3,生活保護費,303,9357719000,2013
民生費,3,災害救助費,304,168169000,2013
衛生費,4,保健衛生費,401,2046612000,2013
衛生費,4,清掃費,402,3925475000,2013
衛生費,4,上水道費,403,62590000,2013
労働費,5,労働諸費,501,36329000,2013
農林水産業費,6,農業費,601,1792794000,2013
農林水産業費,6,林業費,602,23370000,2013
農林水産業費,6,水産業費,603,585000,2013
商工費,7,商工費,701,857264000,2013
土木費,8,土木管理費,801,342299000,2013
土木費,8,道路橋りょう費,802,2734737000,2013
土木費,8,河川費,803,714818000,2013
土木費,8,都市計画費,804,8435429000,2013
土木費,8,住宅費,805,475253000,2013
消防費,9,消防費,901,3682609000,2013
教育費,10,教育総務費,1001,985652000,2013
教育費,10,小学校費,1002,3244959000,2013
教育費,10,中学校費,1003,1020823000,2013
教育費,10,幼稚園費,1004,1014560000,2013
教育費,10,社会教育費,1005,966169000,2013
教育費,10,保健体育費,1006,1199013000,2013
災害復旧費,11,農林水産施設災害復旧費,1101,1000,2013
災害復旧費,11,土木施設災害復旧費,1102,459000000,2013
公債費,12,公債費,1201,10808825000,2013
予備費,13,予備費,1301,100000000,2013
